,LE,T_air,P_air,RH_air,wind_speed,wind_dir,Enet,ground_heat_flux
2015-06-06 16:30:00,56.669827453,4.003939,1005.496,69.59936,5.31045458031,314.863120329,257.410992083,11.29596
2015-06-06 17:00:00,65.9281436327,4.075483,1005.564,69.40437,5.54188981113,314.743870774,323.960214051,10.74356
2015-06-06 18:30:00,58.6548060551,4.340411,1005.672,66.66831,4.34649358966,315.202139536,214.264335128,10.36245
2015-06-06 19:30:00,55.9746478932,4.441472,1005.54,66.02195,4.19701565951,316.699431341,202.828930525,10.14091
2015-06-06 20:00:00,58.7802385432,4.415994,1005.593,68.70271,4.41413661257,321.696197508,192.712892616,10.20638
2015-06-06 20:30:00,33.4990454604,4.054055,1005.591,72.44788,4.74934628735,328.586393641,112.281976412,11.14811
2015-06-06 21:00:00,19.7439365506,3.419816,1005.726,77.24199,4.20998681801,318.24760746,30.4376239955,10.85666
2015-06-06 23:30:00,13.6331267151,2.703556,1006.179,74.18204,3.10025664354,199.371890005,47.9007981634,6.486727
2015-06-07 00:30:00,5.31597194396,1.893422,1006.214,77.8416,3.43669151127,224.645140249,14.1607498508,5.417119
2015-06-07 01:00:00,3.90910413425,1.789478,1006.184,78.62639,3.26055432896,229.142236966,32.9877832402,4.403372
2015-06-07 02:30:00,4.71915324607,1.702778,1006.594,80.11986,3.2047786246,229.461994147,21.6204254872,3.555522
2015-06-07 03:30:00,5.05953260253,1.673439,1006.46,85.05821,2.80636180448,319.436733594,37.4084776147,3.236988
2015-06-07 04:00:00,6.00002108028,1.6067,1006.492,83.94848,2.65847424769,323.813993651,41.3249037385,3.455355
2015-06-07 04:30:00,4.45891046672,1.447922,1006.456,85.78578,3.30283953266,323.708743647,37.2052130364,3.536937
2015-06-07 05:00:00,2.11423383677,1.296617,1006.391,87.79097,4.02073679031,325.770533154,49.0526064331,3.434229
2015-06-07 05:30:00,3.23154667434,1.300528,1006.318,87.76338,3.50604739052,328.356927323,54.7861743481,3.318975
2015-06-07 06:30:00,4.87743896383,1.463211,1006.213,86.20776,4.01878607208,329.194836224,91.7839962846,3.407856
2015-06-07 07:30:00,7.97780858518,1.847789,1006.159,83.60902,4.00142482745,322.198490479,130.285500174,4.228246
2015-06-07 08:00:00,8.34721319283,1.879089,1006.164,84.02093,4.2607225886,318.103894141,179.630420256,4.875115
2015-06-07 08:30:00,8.35702314201,1.975955,1006.259,83.13422,4.54474787145,311.811208704,180.286582153,5.567427
2015-06-07 09:00:00,11.1988774811,1.799133,1006.357,84.09346,4.59525423718,322.634164342,142.90001339,6.64938
2015-06-07 10:00:00,12.2429188652,2.198772,1006.419,81.78289,3.82630119349,318.174398904,191.604506424,6.79859
2015-06-07 10:30:00,14.0894898325,2.124578,1006.588,82.54395,4.75500882215,312.231656934,177.253826472,7.397823
2015-06-07 11:00:00,9.35332225492,1.924772,1006.835,84.25098,5.11568604951,315.118918527,181.9922254,7.770484
2015-06-07 11:30:00,12.6736918805,2.058272,1006.903,82.82141,4.61313420632,314.675696112,187.400285834,7.545123
2015-06-07 12:00:00,12.5665741699,2.139966,1006.841,82.62745,4.23126258806,316.075828805,195.740112609,7.496293
2015-06-07 12:30:00,11.0145244028,2.120183,1006.968,82.82518,4.45216931969,321.928466103,178.555939826,7.955719
2015-06-07 13:00:00,9.9805922682,2.053822,1007.089,82.8479,4.33750760443,326.040675291,167.521314435,8.104288
2015-06-07 13:30:00,11.9551940261,2.098022,1007.182,82.73586,3.82905802629,324.826513735,174.501250791,7.96258
2015-06-07 14:00:00,14.2328069003,2.176316,1007.177,82.81084,3.93023040638,320.707180179,171.879627667,7.911788
2015-06-07 14:30:00,13.9904872319,2.107433,1007.322,83.09662,3.81099287318,318.168661748,155.167736488,8.083073
2015-06-07 15:00:00,10.027969819,2.073467,1007.304,83.66235,3.92067152881,319.106480106,145.662509687,8.104807
2015-06-07 16:30:00,9.27773923408,2.298433,1007.203,82.62839,3.37645591376,313.148627678,180.999616647,7.603755
2015-06-07 17:00:00,16.7349176234,2.616283,1007.206,79.80941,2.9104567702,310.645908764,177.172508629,7.969383
2015-06-07 17:30:00,27.1269264707,2.787189,1007.135,76.7639,2.96747692801,311.960694742,180.394167017,8.673139
2015-06-07 18:00:00,19.1979852712,2.885345,1007.13,78.491,3.70321001847,302.538598338,194.892077409,9.134446
2015-06-07 19:00:00,11.2322613314,2.78955,1007.045,81.09315,3.32578811932,312.231915683,127.388025864,9.318715
2015-06-07 19:30:00,12.6058045239,2.922228,1006.904,80.92341,3.29613921896,318.769244119,143.831325719,8.820721
2015-06-07 20:00:00,27.4756531621,3.826756,1006.805,75.32629,2.78071089132,319.341675181,206.247950374,8.323143
2015-06-07 20:30:00,22.0572659853,3.420861,1006.748,76.04169,2.7239148449,318.19747453,85.6166563589,10.175
