,LE,T_air,wind_speed,Enet,RH_air
2015-06-08 09:30:00,46.8111544393,3.466705,3.84367893375,174.760603966,71.61193
2015-06-08 11:30:00,94.1845462308,4.504772,4.00789944878,423.306356355,69.97789
2015-06-08 12:00:00,51.4175709797,4.019978,4.13940459399,251.214440547,70.22289
2015-06-08 12:30:00,66.1044725653,4.354667,3.50321641369,282.304656583,69.58375
2015-06-08 13:00:00,88.5016703461,4.689955,3.82672987142,354.714241413,68.99925
2015-06-08 15:30:00,101.031069876,5.715327,3.24540720576,539.81834193,66.12123
2015-06-08 16:00:00,84.8828506019,5.385894,2.82719677781,294.703348777,68.61785
2015-06-08 16:30:00,30.2870706891,4.160233,3.68574410591,196.794673204,79.86528
2015-06-08 17:00:00,29.5106196659,4.214389,3.01485710147,189.655923111,80.79469
2015-06-08 17:30:00,40.2724605232,4.283272,3.17082181161,263.565211529,81.17482
2015-06-08 18:00:00,45.7591739623,4.31625,3.11608045518,257.861142274,81.46962
2015-06-08 18:30:00,31.7983529531,4.174905,2.39558845107,206.345714102,82.15872
2015-06-08 19:00:00,19.9437476697,3.925478,2.53071452087,157.272173268,83.1233
2015-06-08 20:00:00,24.4264270485,4.074194,1.93415454868,142.06343811,81.09562
2015-06-08 20:30:00,18.9499532298,3.827989,2.7005549506,90.0013297708,81.72255
2015-06-08 21:00:00,18.3641889478,3.606966,2.13233040754,98.7885380824,81.30716
2015-06-08 22:30:00,5.24623568201,3.199328,2.05112864415,53.0362958581,84.47004
2015-06-08 23:00:00,8.83353200423,3.172194,1.75788251877,43.6624467264,83.21091
2015-06-09 00:00:00,5.64215486013,2.913661,2.43074585656,31.549629728,85.08701
2015-06-09 01:00:00,7.42752575707,2.836778,1.52189891504,36.3322903251,84.98399
2015-06-09 01:30:00,6.23105881875,2.922072,1.63361620793,35.2084794221,84.30759
2015-06-09 02:00:00,4.71506302244,2.965294,0.994220636188,32.4412908977,82.70084
2015-06-09 04:00:00,6.24742240289,3.130339,4.02039982854,55.5957836472,77.64778
2015-06-09 05:00:00,14.6074163712,3.014139,4.21909967052,67.6574578328,76.2782
2015-06-09 08:00:00,25.3428453807,3.198589,2.93482687744,159.69897672,69.53832
2015-06-09 09:30:00,19.3192601425,3.531555,5.37933649173,179.03196687,74.84002
2015-06-09 10:00:00,29.6413999881,3.814233,5.1430328095,196.700570502,73.85355
2015-06-09 11:30:00,95.2221240669,5.224844,2.76552352195,425.229878795,66.62135
2015-06-09 12:30:00,38.8273040351,4.325605,6.67581796635,203.088988747,75.20329
2015-06-09 13:00:00,45.5593640657,4.590222,7.52227039892,277.423221696,74.76034
2015-06-09 13:30:00,43.809989613,4.619339,8.22356055297,289.309673074,76.09457
2015-06-09 14:00:00,39.1935132401,4.852278,7.20099499957,354.560066946,75.97018
2015-06-09 14:30:00,45.0009902053,4.729589,8.5056026481,312.76438575,75.85921
2015-06-09 15:00:00,20.4227629702,4.061995,8.52134477329,174.221767738,77.37608
2015-06-09 15:30:00,21.0018363854,3.853105,8.07168143341,170.312312032,77.78905
2015-06-09 16:00:00,16.7887402194,3.960544,6.88239001321,154.324431827,77.3047
2015-06-09 16:30:00,16.1056815194,4.009428,7.51173182884,163.323543356,77.93829
2015-06-09 17:00:00,16.474286442,3.987589,7.45517675714,163.851850789,78.21684
2015-06-09 17:30:00,12.6583221048,3.823094,7.26069163144,150.794834258,78.6181
2015-06-09 18:00:00,14.7790741375,3.859033,6.45585520384,138.091423951,78.04711
2015-06-09 18:30:00,22.296105395,4.2546,5.83167003888,200.229356218,76.92815
2015-06-09 19:00:00,26.3125667721,4.341683,6.62104085043,162.999972244,76.40874
2015-06-09 19:30:00,12.5025930985,4.046716,6.79254527666,121.698085286,77.51224
2015-06-09 20:00:00,11.1848933987,3.969494,6.66874339793,115.380796514,78.15834
2015-06-09 22:00:00,2.84743256342,2.940361,4.69684718576,29.6712900759,84.82338
2015-06-09 22:30:00,1.2566468353,2.846977,4.77401661113,19.5815318648,86.05815
2015-06-10 00:30:00,1.46995541223,2.533961,4.02023602403,8.71150627935,88.63599
2015-06-10 02:30:00,2.47528596825,2.597772,4.38415551183,19.0059199368,83.67408
2015-06-10 03:00:00,1.84860343473,2.617628,3.95424788174,21.891551406,83.38213
2015-06-10 04:00:00,4.65632077714,3.151994,4.24341498745,66.0902000836,80.97587
2015-06-10 08:30:00,10.6159989449,3.724022,5.04686941359,94.6762548498,77.80428
2015-06-10 09:00:00,10.6700541256,3.821666,4.58865634102,125.052386489,77.57158
2015-06-10 09:30:00,17.1964662135,4.142039,4.6618616891,170.600258808,77.30012
2015-06-10 11:00:00,41.9900047798,5.324555,4.78572787718,392.922069936,74.67487
2015-06-10 12:30:00,29.472572979,5.353567,5.760045206,256.861860579,75.94685
2015-06-10 13:30:00,23.0059361394,5.226117,5.64334797636,205.451762258,77.0196
2015-06-10 14:00:00,34.858986406,5.562794,5.5158872084,244.28260071,76.44707
2015-06-10 14:30:00,30.466305873,5.358016,6.33831153891,197.69400155,76.7765
2015-06-10 15:00:00,17.0823678596,5.131494,6.62126766315,150.731856397,79.03802
2015-06-10 15:30:00,10.735217191,4.831133,6.57196102482,158.374296629,82.77921
2015-06-10 17:00:00,5.44141584225,4.046339,6.67583414273,110.036880672,86.89626
2015-06-10 20:00:00,6.01515591566,4.521794,6.66216305867,130.383013519,84.32462
2015-06-10 20:30:00,7.5805718269,4.175789,6.91636496997,117.561377146,84.85076
2015-06-10 21:00:00,5.67927221659,3.938077,7.18843026202,73.783380976,84.32096
2015-06-10 21:30:00,5.13678099191,3.772794,6.90322871037,74.2574817991,84.95559
2015-06-10 22:00:00,5.66848316633,3.830189,6.85714972195,81.8847117368,84.32201
2015-06-10 22:30:00,4.80365932921,3.386861,7.67092885306,70.1305330041,84.62341
2015-06-10 23:00:00,4.93850987394,3.147666,7.467455099,63.264031444,85.28293
2015-06-10 23:30:00,3.47330593434,2.926816,7.86033469196,50.4514995595,85.08051
2015-06-11 00:00:00,2.87788022062,2.944533,6.73609955651,47.0115853996,84.45393
2015-06-11 00:30:00,3.05282761454,3.057694,6.26113986084,41.9477774939,84.02055
2015-06-11 01:00:00,4.8386311674,3.144872,6.10220949822,32.5642934793,81.13175
2015-06-11 01:30:00,7.48466022296,3.066283,7.18749876451,45.8865867061,78.87232
2015-06-11 02:00:00,12.7757779989,3.906211,6.76544248968,121.287766428,75.47359
2015-06-11 02:30:00,11.0912981913,3.50345,6.55212606547,56.7736557623,78.60225
2015-06-11 03:00:00,9.26038386148,3.521867,5.84840665361,83.4866122101,78.48655
2015-06-11 05:30:00,7.39221846281,4.169744,3.09599640295,104.838706291,76.38793
2015-06-11 06:30:00,10.3555484322,4.275072,1.25375214542,68.0707071037,74.7689
2015-06-11 07:00:00,17.9157713117,4.865878,1.20089430648,132.66962232,71.64514
2015-06-11 07:30:00,19.2577972923,5.077994,0.951669569084,122.96938011,68.67222
2015-06-11 08:00:00,21.5903808569,5.358756,0.48088462281,124.292513109,66.8278
2015-06-11 08:30:00,35.9546656656,5.721871,0.419229638743,187.640047484,67.14778
2015-06-11 09:00:00,45.8659082764,5.662305,1.30459249429,181.079992528,68.78662
2015-06-11 09:30:00,56.4172390537,6.099272,1.98517234309,336.940280466,69.1096
2015-06-11 11:00:00,24.9654307557,5.755772,3.13330040803,132.23045035,74.19872
2015-06-11 12:00:00,33.9262136899,6.013933,3.09729731532,173.699737548,73.96412
2015-06-11 13:00:00,35.0088254871,5.809494,6.59520689526,150.444622501,71.10905
2015-06-11 13:30:00,34.2543241346,5.634139,6.22238581323,172.15986793,71.70769
