,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-08-13 09:30:14.300,-0.930544,0.969316,-0.0775453,9.37062160575,395.239,6.09
2018-08-13 09:30:14.400,-1.09074,1.13053,-0.109176,9.3957764,395.202,6.05155
2018-08-13 09:30:14.500,-1.04176,1.21012,-0.102033,9.39409937888,395.38,6.02948
2018-08-13 09:30:14.600,-1.02543,1.09788,-0.0538226,9.506470798,395.307,6.02479
2018-08-13 09:30:14.700,-1.02646,1.00197,-0.165294,9.32031537665,395.257,6.02887
2018-08-13 09:30:14.800,-1.3948,0.79484,-0.217331,9.7765889871,395.166,6.02046
2018-08-13 09:30:14.900,-1.66212,0.679542,-0.126011,9.3957764,395.219,6.03105
2018-08-13 09:30:15.000,-2.01516,0.729538,-0.284928,9.53163163919,395.16,6.02546
2018-08-13 09:30:15.100,-1.83966,0.49078,-0.21376,9.36894465928,395.322,6.02281
2018-08-13 09:30:15.200,-1.74477,0.48874,0.0862181,9.32031537665,395.238,6.02478
2018-08-13 09:30:15.300,-1.56825,0.696888,-0.0737191,9.37062160575,395.406,6.01751
2018-08-13 09:30:15.400,-1.58458,0.536695,0.00688725,9.45112088907,395.35,6.01171
2018-08-13 09:30:15.500,-1.47234,0.554041,-0.237738,9.26163043727,395.338,6.00439
2018-08-13 09:30:15.600,-1.31419,0.0438743,-0.0696377,9.31863857949,395.406,5.99551
2018-08-13 09:30:15.700,-1.07441,0.188762,-0.105604,9.44776652333,395.303,5.99863
2018-08-13 09:30:15.800,-1.2193,0.393849,-0.0300998,9.42428652054,395.263,5.99549
2018-08-13 09:30:15.900,-1.28256,0.635668,-0.00586692,9.37062160575,395.326,5.9932
2018-08-13 09:30:16.000,-1.10706,0.681583,-0.0298447,9.34211419265,395.353,5.98856
2018-08-13 09:30:16.100,-1.31113,0.668318,-0.156876,9.37229855719,395.424,5.99079
2018-08-13 09:30:16.200,-1.40704,0.600976,-0.16963,9.31863857949,395.255,5.99121
2018-08-13 09:30:16.300,-1.20399,0.82647,-0.145142,9.45112088907,395.289,5.99396
2018-08-13 09:30:16.400,-0.97952,0.825449,-0.401246,9.61047619296,395.317,6.00221
2018-08-13 09:30:16.500,-0.963194,0.682603,-0.472924,9.36894465928,395.361,6.01506
